band_number,Disposition,Species,Nestbox,Site,Banding Date,Age,How Aged,Sex,How Sexed,Status,Right Wing Chord (mm),Weight (g),Fat Score,Tail Length (mm),Skull Length (mm),Nares-Tip (mm),Tarsus (mm),Initials,Right Leg Color,Left Leg Color,Comments,Blood number,entry_order,color,life_stage
NA,NA,WEBL,PICO1,Picnic Grounds,5/2/2023,L,NN,U,NA,300,31,16.8,2,2,27.5,4.2,19.1,KL,-,-,Red,,1468,Red,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,6/6/2023,L,NN,U,NA,300,10,7.9,4,0,20.5,3.2,10,KL,-,-,Blue,,1656,Blue,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,6/6/2023,L,NN,U,NA,300,11,9,4,0,21,3,11.1,KL,-,-,Red,,1657,Red,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,6/6/2023,L,NN,U,NA,300,10,8.1,4,0,21.1,3,10.1,KL,-,-,Purple,,1658,Purple,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,6/6/2023,L,NN,U,NA,300,10,8.5,4,0,20,3,10.3,KL,-,-,Pink,,1659,Pink,nestling
NA,NA,WEBL,PICO1,Picnic Grounds,6/6/2023,L,NN,U,NA,300,8,6,4,0,18.6,2.7,9.3,KL,-,-,Green,,1660,Green,nestling
2941-94401,NA,WEBL,PICO1,Picnic Grounds,6/6/2023,AHY,PL,F,PL,334,99,23.8,2,62,35.2,8,19.6,KL,OR/SV,GY/GY,,B473,2086,2941-94401,adult
2941-94586,NA,WEBL,PICO1,Picnic Grounds,6/16/2023,L,NN,F,PL,333,53,24.7,4,15,30.7,5.9,20.3,KL,-,-,,B496,1595,2941-94586,nestling
2941-94587,NA,WEBL,PICO1,Picnic Grounds,6/16/2023,L,NN,M,PL,333,52,26.2,4,16,32.2,6,20.3,KL,-,-,,B497,1596,2941-94587,nestling
2941-94588,NA,WEBL,PICO1,Picnic Grounds,6/16/2023,L,NN,F,PL,333,47,25.3,4,12,30.9,5.9,21.8,KL,-,-,Green,B498,1597,Green,nestling
2941-94589,NA,WEBL,PICO1,Picnic Grounds,6/16/2023,L,NN,F,PL,333,52,24.9,4,13,32,6,20.9,KL,-,-,Blue,B499,1598,Blue,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/11/2021,L,NN,U,NA,300,9,5.6,4,0,18,2.5,8,KG,-,-,Pink,-,395,Pink,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/11/2021,L,NN,U,NA,300,9,5.3,4,0,17.5,2.3,7.1,KL,-,-,Yellow,-,396,Yellow,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/11/2021,L,NN,U,NA,300,9,5.4,4,0,17.6,2.6,7.7,KL,-,-,Blue,-,397,Blue,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/11/2021,L,NN,U,NA,300,8,6.4,4,0,18.2,2.5,8.4,KG,-,-,Green,-,398,Green,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/11/2021,L,NN,U,NA,300,8,3.6,4,0,15.8,2.5,6.5,KL,-,-,Purple,-,399,Purple,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/18/2021,L,NN,U,NA,300,30,21.3,3,5,28.4,4.8,20.2,KL,-,-,Pink,-,427,Pink,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/18/2021,L,NN,U,NA,300,30,19.8,3,3,28.8,4.8,19.8,KL,-,-,Yellow,-,428,Yellow,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/18/2021,L,NN,U,NA,300,30,21.1,3,5,28.8,4.8,19.9,KL,-,-,Blue,-,429,Blue,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/18/2021,L,NN,U,NA,300,31,22.2,3,6,29.8,5.2,20.3,KL,-,-,Purple,-,430,Purple,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/18/2021,L,NN,U,NA,300,27,19,3,2,27.4,4.8,19.4,KL,-,-,Orange,-,431,Orange,nestling
2941-18449,NA,WEBL,PICO10,Picnic Grounds,6/23/2021,L,NN,F,PL,333,55,28.6,4,19,30.8,5.3,22,KG,-,-,Pink,-,592,Pink,nestling
2941-18450,NA,WEBL,PICO10,Picnic Grounds,6/23/2021,L,NN,F,PL,333,51,28.5,4,14,31.2,5.4,22.5,KG,-,-,Orange,-,593,Orange,nestling
2941-18451,NA,WEBL,PICO10,Picnic Grounds,6/23/2021,L,NN,F,PL,333,58,30.8,3,20,31.7,5.8,21,KG,-,-,Purple,-,594,Purple,nestling
2941-18452,NA,WEBL,PICO10,Picnic Grounds,6/23/2021,L,NN,M,PL,333,53,28.7,3,17,31.4,5.3,20.4,KG,-,-,Yellow,-,595,Yellow,nestling
2941-18453,NA,WEBL,PICO10,Picnic Grounds,6/23/2021,L,NN,F,PL,333,52,29.6,3,17,29.9,5.6,22.3,KG,-,-,Green,-,596,Green,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/21/2022,L,NN,U,NA,300,18,14.8,3,1,24.5,4,16.1,KL,-,-,Pink,,1170,Pink,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/21/2022,L,NN,U,NA,300,16,12.8,4,0,24.2,3.8,14.8,VW,-,-,Orange,,1171,Orange,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/21/2022,L,NN,U,NA,300,18,14.4,3,0,25.2,4.1,15.4,YW,-,-,Blue,,1172,Blue,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/21/2022,L,NN,U,NA,300,20,16.4,4,1,25.6,3.9,15.2,KL,-,-,Purple,,1173,Purple,nestling
NA,NA,WEBL,PICO10,Picnic Grounds,6/21/2022,L,NN,U,NA,300,14,11.4,3,0,22.1,2.9,13.9,VW,-,-,Red,,1174,Red,nestling
2941-94438,NA,WEBL,PICO10,Picnic Grounds,6/30/2022,L,NN,F,PL,334,59,25.3,3,23,30.3,5.7,20.5,VW,WH/OR,GY/SV,Purple,B315,1357,Purple,nestling
2941-94439,NA,WEBL,PICO10,Picnic Grounds,6/30/2022,L,NN,M,PL,334,60,24.9,4,21,31.8,5.8,21.3,VW,WH/OR,GY/SV,Pink,B316,1358,Pink,nestling
2941-94440,NA,WEBL,PICO10,Picnic Grounds,6/30/2022,L,NN,F,PL,334,56,25.8,4,18,31.3,6.7,22.7,VW,WH/OR,GY/SV,Blue,B317,1359,Blue,nestling
2941-94441,NA,WEBL,PICO10,Picnic Grounds,6/30/2022,L,NN,F,PL,334,52,24.9,3,16,30,5.5,19.4,YW,WH/OR,GY/SV,Red,B318,1360,Red,nestling
2941-94442,NA,WEBL,PICO10,Picnic Grounds,6/30/2022,L,NN,M,PL,334,56,25.7,3,8,30.5,5.3,19.7,YW,WH/OR,GY/SV,Orange,,1361,Orange,nestling
2941-94590,NA,WEBL,PICO11,Picnic Grounds,6/20/2023,AHY,PL,F,PL,333,99,25,2,59,35.5,9.2,20.3,KL,-,-,,B500,1599,2941-94590,adult
NA,NA,WEBL,PICO11,Picnic Grounds,6/20/2023,L,NN,U,NA,300,11,8.5,5,0,20.8,3,10.8,KL,-,-,Purple,,1691,Purple,nestling
NA,NA,WEBL,PICO11,Picnic Grounds,6/20/2023,L,NN,U,NA,300,10,7.8,5,0,20.1,3,9.9,KL,-,-,Red,,1692,Red,nestling
NA,NA,WEBL,PICO11,Picnic Grounds,6/20/2023,L,NN,U,NA,300,11,9.5,5,0,21,2.9,10.4,KL,-,-,Pink,,1693,Pink,nestling
NA,NA,WEBL,PICO11,Picnic Grounds,6/20/2023,L,NN,U,NA,300,11,8.6,5,0,21.3,3.2,10,KL,-,-,Blue,,1694,Blue,nestling
NA,NA,WEBL,PICO11,Picnic Grounds,6/20/2023,L,NN,U,NA,300,11,8.3,5,0,20.9,3.1,10.6,KL,-,-,Orange,,1695,Orange,nestling
2941-94701,NA,WEBL,PICO11,Picnic Grounds,6/29/2023,L,NN,F,PL,333,47,26,4,14,30.3,5.5,20.4,YZ,-,-,,B524,2097,2941-94701,nestling
2941-94702,NA,WEBL,PICO11,Picnic Grounds,6/29/2023,L,NN,F,PL,333,49,26.5,5,14,31.2,5.7,20.3,YZ,-,-,,B525,2098,2941-94702,nestling
2941-94703,NA,WEBL,PICO11,Picnic Grounds,6/29/2023,L,NN,M,PL,333,51,23.6,5,15,28.5,5.3,20.7,YZ,-,-,,B526,2099,2941-94703,nestling
2941-94704,NA,WEBL,PICO11,Picnic Grounds,6/29/2023,L,NN,F,PL,333,50,20.7,5,15,29.3,5.1,20.4,YZ,-,-,Orange,B527,2100,Orange,nestling
NA,NA,WEBL,PICO13,Picnic Grounds,7/13/2023,L,NN,U,NA,300,9,6.5,4,0,19.2,2.5,9.2,YZ,-,-,Red,,2045,Red,nestling
NA,NA,WEBL,PICO13,Picnic Grounds,7/13/2023,L,NN,U,NA,300,10,6,4,0,19.1,2.5,8.6,YZ,-,-,Green,,2046,Green,nestling
NA,NA,WEBL,PICO13,Picnic Grounds,7/13/2023,L,NN,U,NA,300,8,5,4,0,18.1,2.5,8.4,YZ,-,-,Purple,,2047,Purple,nestling
NA,NA,WEBL,PICO13,Picnic Grounds,7/13/2023,L,NN,U,NA,300,9,5,4,0,19,2.6,8.7,YZ,-,-,Pink,,2048,Pink,nestling
2941-94442,NA,WEBL,PICO13,Picnic Grounds,7/13/2023,AHY,PL,M,PL,334,100,24,3,89,35.1,8.1,20.3,YZ,WH/OR,GY/SV,,,2096,2941-94442,adult
2941-94707,NA,WEBL,PICO13,Picnic Grounds,7/13/2023,AHY,PL,F,PL,333,98,24.7,3,57,34.9,8.4,19.7,KL,-,-,,B569,2103,2941-94707,adult
NA,NA,WEBL,PICO3,Picnic Grounds,4/12/2022,L,NN,U,NA,300,16,11.9,3,1,23.2,3.4,14.6,KL,-,-,Yellow,-,965,Yellow,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,4/12/2022,L,NN,U,NA,300,16,12.4,3,1,23.4,3.2,13.9,KL,-,-,Pink,-,966,Pink,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,4/12/2022,L,NN,U,NA,300,14,12.2,3,0,23.8,3.6,13.9,KL,-,-,Green,-,967,Green,nestling
2941-94403,NA,WEBL,PICO3,Picnic Grounds,4/12/2022,AHY,PL,F,PL,333,100,25.4,2,61,36,8.6,20.3,KL,-,-,B003,B003,1322,2941-94403,adult
NA,NA,WEBL,PICO3,Picnic Grounds,5/19/2022,L,NN,U,NA,300,12,8.3,2,0,21.1,3,10,KG,-,-,Yellow,-,727,Yellow,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,5/19/2022,L,NN,U,NA,300,18,13.8,3,0,24.8,3.2,14.5,KG,-,-,Blue,-,728,Blue,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,5/19/2022,L,NN,U,NA,300,17,14.1,3,0,24.8,4,15,KG,-,-,Purple,-,729,Purple,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,5/19/2022,L,NN,U,NA,300,18,15.4,3,0,25.6,3.7,14.8,CP,-,-,Red,-,730,Red,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,5/19/2022,L,NN,U,NA,300,17,13.7,4,0,24.6,4.5,14,KL,-,-,Pink,-,731,Pink,nestling
NA,NA,WEBL,PICO3,Picnic Grounds,5/19/2022,L,NN,U,NA,300,15,11.2,4,1,23.4,3.4,13.4,KG,-,-,Orange,-,732,Orange,nestling
2941-94525,NA,WEBL,PICO3,Picnic Grounds,5/26/2022,L,NN,M,PL,334,54,24.4,5,9,30.2,5.6,20.2,PGG,GY/SV,GY/OR,Purple ,B140,762,Purple ,nestling
2941-94526,NA,WEBL,PICO3,Picnic Grounds,5/26/2022,L,NN,F,PL,334,59,25.1,5,20,30.4,5.7,18,KG,GY/SV,GY/OR,Pink ,B141,763,Pink ,nestling
2941-94527,NA,WEBL,PICO3,Picnic Grounds,5/26/2022,L,NN,M,PL,334,55,27.8,6,14,32.1,6.5,21.3,PGG,GY/SV,GY/OR,Red ,B142,764,Red ,nestling
2941-94528,NA,WEBL,PICO3,Picnic Grounds,5/26/2022,L,NN,U,NA,334,44,22.8,4,11,29,5.3,19.5,KG,GY/SV,GY/OR,Yellow2,-,765,Yellow,nestling
2941-94529,NA,WEBL,PICO3,Picnic Grounds,5/26/2022,L,NN,M,PL,334,59,24.8,4,16,30.6,6.5,20.1,PGG,GY/SV,GY/OR,Orange,-,766,Orange,nestling
2941-94530,NA,WEBL,PICO3,Picnic Grounds,5/26/2022,L,NN,F,PL,334,59,25.3,5,18,30.4,5.8,21.8,KG,GY/SV,GY/OR,Blue ,-,767,Blue ,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/18/2023,L,NN,U,NA,300,6,1.3,4,0,17.4,1.3,4.4,KL,-,-,Blue,,1516,Blue,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/18/2023,L,NN,U,NA,300,6,1.3,4,0,11.7,1.8,4.7,KL,-,-,Orange,,1517,Orange,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/18/2023,L,NN,U,NA,300,6,1.2,4,0,11.4,1.4,4,KL,-,-,Pink,,1518,Pink,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/18/2023,L,NN,U,NA,300,6,1.2,4,0,11.2,1.4,4.2,KL,-,-,Purple,,1519,Purple,nestling
2881-17944,NA,TRES,PICO3,Picnic Grounds,5/18/2023,AHY,PL,F,BP,333,115,19.8,4,56,28.1,5.3,12.5,RK,-,-,,B377,2079,2881-17944,adult
NA,NA,TRES,PICO3,Picnic Grounds,5/25/2023,L,NN,U,NA,300,24,13.2,4,1,21.6,3.4,11.7,KL,-,-,Red,B433,1615,Red,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/25/2023,L,NN,U,NA,300,23,14.1,4,1,21.3,3.3,11.4,KL,-,-,Pink,B434,1616,Pink,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/25/2023,L,NN,U,NA,300,24,14.3,4,2,23.3,3.7,11.8,KL,-,-,Orange,B435,1617,Orange,nestling
NA,NA,TRES,PICO3,Picnic Grounds,5/25/2023,L,NN,U,NA,300,24,15,4,2,23,3.6,11.8,KL,-,-,Green,,1618,Green,nestling
2881-65908,NA,TRES,PICO3,Picnic Grounds,5/30/2023,L,NN,U,NA,333,50,20.1,3,18,25.8,4.1,12.5,KL,-,-,Orange,B444,1917,Orange,nestling
2881-65909,NA,TRES,PICO3,Picnic Grounds,5/30/2023,L,NN,U,NA,333,50,21.1,4,15,24.5,4.3,12.8,KL,-,-,Pink,B445,1918,Pink,nestling
2881-65910,NA,TRES,PICO3,Picnic Grounds,5/30/2023,L,NN,U,NA,333,50,20.1,4,16,25.5,4.6,12.7,KL,-,-,Green,B446,1919,Green,nestling
2881-65911,NA,TRES,PICO3,Picnic Grounds,5/30/2023,L,NN,U,NA,333,50,19,2,16,25.6,4.4,13,KL,-,-,Red,,1920,Red,nestling
2941-94401,NA,WEBL,PICO4,Picnic Grounds,4/12/2022,AHY,PL,F,PL,333,97,22.1,1,59,35.2,8,19.7,KL,-,-,B001,B001,1320,2941-94401,adult
NA,NA,WEBL,PICO4,Picnic Grounds,4/16/2022,L,NN,U,NA,300,14,13.3,3,0,24.1,3.6,13.6,KL,-,-,Red,-,968,Red,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,4/16/2022,L,NN,U,NA,300,12,11.7,5,0,23.1,3.2,12.1,KL,-,-,Green,-,969,Green,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,4/16/2022,L,NN,U,NA,300,15,13.8,4,0,24.1,3.5,14.3,KL,-,-,Purple,-,970,Purple,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,4/22/2022,L,NN,U,NA,300,39,23.5,3,8,29.7,4.8,19.5,KL,-,-,Red ,B010,994,Red ,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,4/22/2022,L,NN,U,NA,300,35,23.2,4,5,28.2,4.3,18.2,KL,-,-,Green ,B011,995,Green ,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,4/22/2022,L,NN,U,NA,300,41,22.4,3,10,29.4,4.6,20.3,KL,-,-,Purple ,B012,996,Purple ,nestling
2941-94408,NA,WEBL,PICO4,Picnic Grounds,4/27/2022,L,NN,U,NA,333,58,23.9,4,24,30.7,5.4,19.6,KL,-,-,Green,B030,1327,Green,nestling
2941-94409,NA,WEBL,PICO4,Picnic Grounds,4/27/2022,L,NN,U,NA,333,63,24.4,4,28,31.4,5.2,21.2,KL,-,-,Purple,B031,1328,Purple,nestling
2941-94410,NA,WEBL,PICO4,Picnic Grounds,4/27/2022,L,NN,U,NA,333,61,26.6,3,25,30.7,5.6,19.8,KL,-,-,Red,-,1329,Red,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/2/2022,L,NN,U,NA,300,10,6.6,3,0,19.1,2.4,9.1,CP,-,-,Blue,,1241,Blue,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/2/2022,L,NN,U,NA,300,7,3.7,3,0,16.5,2.1,6.4,CP,-,-,Pink,,1242,Pink,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/2/2022,L,NN,U,NA,300,9,4.5,3,0,17.1,2,6.7,CP,-,-,Purple,,1243,Purple,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/2/2022,L,NN,U,NA,300,7,4.6,3,0,17.2,2.3,6.9,CP,-,-,Green,,1244,Green,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/2/2022,L,NN,U,NA,300,9,5.5,4,0,18,2.4,6.8,CP,-,-,Red,,1245,Red,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/2/2022,L,NN,U,NA,300,11,5.9,4,0,18.2,2.7,7.9,CP,-,-,Orange,,1246,Orange,nestling
2941-94401,NA,WEBL,PICO4,Picnic Grounds,6/6/2022,AHY,PL,F,PL,334,96,22.3,2,60,34.5,7.7,20.1,KL,OR/SV,GY/GY,,B267,1880,2941-94401,adult
NA,NA,WEBL,PICO4,Picnic Grounds,6/9/2022,L,NN,U,NA,300,30,20.7,4,3,28.9,5.2,23,KG,-,-,Red,-,826,Red,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/9/2022,L,NN,U,NA,300,22,19.5,2,1,27.9,5,20.4,PGG,-,-,Pink B169,B169,827,Pink,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/9/2022,L,NN,U,NA,300,28,20.9,5,2,27.8,4.8,18.6,KG,-,-,Green B170,B170,828,Green,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/9/2022,L,NN,U,NA,300,26,19.2,3,1,27.4,5,19.9,PGG,-,-,Purple,-,829,Purple,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/9/2022,L,NN,U,NA,300,32,20.7,4,4,27.6,4.6,20,KG,-,-,Blue,-,830,Blue,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,6/9/2022,L,NN,U,NA,300,31,20.5,3,4,27.9,5.5,21.2,PGG,-,-,Orange,-,831,Orange,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,5/23/2023,L,NN,U,NA,300,14,12.7,4,0,23.6,3.5,13.7,KL,-,-,Purple,,1555,Purple,nestling
NA,NA,WEBL,PICO4,Picnic Grounds,5/23/2023,L,NN,U,NA,300,17,14.5,4,1,24.7,3.5,14.8,KL,-,-,Green,,1556,Green,nestling
2941-94571,NA,WEBL,PICO4,Picnic Grounds,5/23/2023,AHY,PL,F,PL,333,96,27.6,4,59,36.6,8.8,19.5,KL,-,-,,B393,1580,2941-94571,adult
NA,NA,WEBL,PICO5,Picnic Grounds,5/14/2021,L,NN,U,NA,300,9,8.7,4,0,20.4,2.8,9.4,KL,-,-,Pink,-,235,Pink,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,5/14/2021,L,NN,U,NA,300,15,13.1,4,0,22.7,3.4,13.1,KL,-,-,Purple,-,236,Purple,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,5/14/2021,L,NN,U,NA,300,13,12.9,4,0,23.4,4,13.2,KL,-,-,Green,-,237,Green,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,5/14/2021,L,NN,U,NA,300,12,10.3,4,1,21.8,3.2,11.7,KL,-,-,Blue,-,238,Blue,nestling
2941-18418,NA,WEBL,PICO5,Picnic Grounds,5/21/2021,L,NN,M,PL,333,46,26,3,14,29.9,5.2,20,KL,-,-,Purple,-,561,Purple,nestling
2941-18419,NA,WEBL,PICO5,Picnic Grounds,5/21/2021,L,NN,F,PL,333,42,23.5,3,11,29.3,5.1,20.5,KL,-,-,Blue,-,562,Blue,nestling
2941-18420,NA,WEBL,PICO5,Picnic Grounds,5/21/2021,L,NN,F,PL,333,47,25.6,3,15,30.3,5.3,20.8,KL,-,-,Green,-,563,Green,nestling
2941-18421,NA,WEBL,PICO5,Picnic Grounds,5/21/2021,L,NN,U,NA,333,37,24.5,3,7,28.4,5,19.5,KL,-,-,Pink,-,564,Pink,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/9/2021,L,NN,U,NA,300,13,10.5,4,0,21.3,3.1,13.6,KG,-,-,Pink,-,504,Pink,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/9/2021,L,NN,U,NA,300,13,9.5,3,0,21.3,3.1,11.9,KL,-,-,Yellow,-,505,Yellow,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/9/2021,L,NN,U,NA,300,19,15.6,3,1,24.8,3.6,15.9,KG,-,-,Blue,-,506,Blue,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/9/2021,L,NN,U,NA,300,20,16.2,4,1,25,4.4,15.9,KL,-,-,Purple,-,507,Purple,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/9/2021,L,NN,U,NA,300,18,15.8,4,1,24.2,3.6,16,KG,-,-,Green,-,508,Green,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/16/2021,L,NN,U,NA,300,53,25.4,3,15,30.1,4.8,20.4,KG,-,-,Green,-,523,Green,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/16/2021,L,NN,U,NA,300,49,23.1,3,17,28.8,5.6,21.2,AM,-,-,Blue,-,524,Blue,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/16/2021,L,NN,U,NA,300,53,27,2,18,29.9,4.6,21.8,KG,-,-,Purple,-,525,Purple,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/16/2021,L,NN,U,NA,300,40,23.7,4,8,28.2,5,20.5,AM,-,-,Pink,-,526,Pink,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/19/2021,L,NN,M,PL,300,63,25.5,4,25,30.3,5,20.4,KG,-,-,Blue,-,528,Blue,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/19/2021,L,NN,M,PL,300,68,28.8,5,27,32.1,5,21.4,KG,-,-,Purple,-,529,Purple,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/19/2021,L,NN,F,PL,300,58,25.4,5,17,30.3,5.5,21.2,KG,-,-,Pink,-,530,Pink,nestling
NA,NA,WEBL,PICO5,Picnic Grounds,7/19/2021,L,NN,M,PL,300,62,25,4,25,31.1,5.9,22.3,KG,-,-,Green,-,531,Green,nestling
2631-20620,NA,TRES,PICO5,Picnic Grounds,5/5/2022,SY,PL,F,BP,333,107,17.3,3,52,27.5,5.8,12.7,PGG,-,-,,B057,1894,2631-20620,adult
NA,NA,TRES,PICO5,Picnic Grounds,5/12/2022,L,NN,U,NA,300,16,10.1,4,0,19.6,3,10.8,VW,-,-,Green,-,710,Green,nestling
NA,NA,TRES,PICO5,Picnic Grounds,5/12/2022,L,NN,U,NA,300,17,9.3,3,0,20.2,3,9.9,KL,-,-,Blue,-,711,Blue,nestling
NA,NA,TRES,PICO5,Picnic Grounds,5/12/2022,L,NN,U,NA,300,16,10.3,4,0,20.2,3.2,11.4,VW,-,-,Orange,-,712,Orange,nestling
NA,NA,TRES,PICO5,Picnic Grounds,5/12/2022,L,NN,U,NA,300,17,9.5,4,0,19.4,3.1,11,YW,-,-,Pink,-,713,Pink,nestling
NA,NA,TRES,PICO5,Picnic Grounds,5/12/2022,L,NN,U,NA,300,17,9.7,4,0,19.6,3,10.9,KL,-,-,Red,-,714,Red,nestling
2881-65820,NA,TRES,PICO5,Picnic Grounds,5/12/2022,AHY,PL,M,CL,333,116,18.1,2,57,28.4,4.8,11.7,KL,-,-,B098,B098,1057,2881-65820,adult
2631-20620,NA,TRES,PICO5,Picnic Grounds,5/12/2022,SY,PL,F,BP,333,106,14.8,1,53,26.6,4.5,12.1,KL,-,-,,B097,1897,2631-20620,adult
2881-65828,NA,TRES,PICO5,Picnic Grounds,5/18/2022,L,NN,U,NA,333,48,18.7,3,13,24.9,4.3,13.8,KG,-,-,Blue,B214,1065,Blue,nestling
2881-65829,NA,TRES,PICO5,Picnic Grounds,5/18/2022,L,NN,U,NA,333,49,18,3,11,23.4,4.4,13.6,KG,-,-,Red,B215,1066,Red,nestling
2881-65830,NA,TRES,PICO5,Picnic Grounds,5/18/2022,L,NN,U,NA,333,46,18.6,2,13,25,4.5,13,KG,-,-,Green,B216,1067,Green,nestling
2881-65831,NA,TRES,PICO5,Picnic Grounds,5/18/2022,L,NN,U,NA,333,47,18.5,4,12,25.4,4,11.2,CP,-,-,Orange,,1068,Orange,nestling
2881-65832,NA,TRES,PICO5,Picnic Grounds,5/18/2022,L,NN,U,NA,333,48,17.9,3,12,25.6,4,10.9,CP,-,-,Pink,,1069,Pink,nestling
2941-94403,NA,WEBL,PICO5,Picnic Grounds,4/25/2023,AHY,PL,F,PL,334,102,20.8,2,60,35.3,8,20.7,KL,SV/WH,OR/GY,,B428,2073,2941-94403,adult
2941-94403,NA,WEBL,PICO5,Picnic Grounds,5/2/2023,AHY,PL,F,PL,334,102,-,-,-,-,-,-,KL,SV/WH,OR/GY,,B359,2074,2941-94403,adult
NA,NA,WEBL,PICO6,Picnic Grounds,5/7/2021,L,NN,U,NA,300,10,7,4,0,19.5,2.8,11,KL,-,-,Paul,-,55,Single,nestling
NA,NA,WEBL,PICO6,Picnic Grounds,5/14/2021,L,NN,U,NA,300,34,22.9,3,5,28.4,4.9,20.9,KL,-,-,Paul <3,-,239,Single,nestling
2941-18410,NA,WEBL,PICO6,Picnic Grounds,5/17/2021,L,NN,F,PL,333,49,27.7,4,15,31,6.6,21.9,AG,-,-,Only chick,-,553,Single,nestling
NA,NA,TRES,PICO6,Picnic Grounds,5/24/2022,L,NN,U,NA,300,7,2.3,3,0,12.8,2,5.1,VW,-,-,Red,,1211,Red,nestling
NA,NA,TRES,PICO6,Picnic Grounds,5/24/2022,L,NN,U,NA,300,7,2,4,0,12.7,1.8,4.7,KL,-,-,Purple,,1212,Purple,nestling
NA,NA,TRES,PICO6,Picnic Grounds,5/24/2022,L,NN,U,NA,300,8,2.5,2,0,13.6,2.2,6.2,VW,-,-,Green,,1213,Green,nestling
NA,NA,TRES,PICO6,Picnic Grounds,5/24/2022,L,NN,U,NA,300,7,3,4,0,13.6,1.8,5,KL,-,-,Blue,,1214,Blue,nestling
2881-17944,NA,TRES,PICO6,Picnic Grounds,5/24/2022,SY,PL,F,BP,333,111,18.5,3,54,28.6,5.3,12.6,KL,-,-,,B249,1901,2881-17944,adult
2881-65726,NA,TRES,PICO6,Picnic Grounds,6/3/2022,L,NN,U,NA,333,47,19.3,2,10,24.2,3.6,12,KG,-,-,unknown color,B158,1288,2881-65726,nestling
2881-65727,NA,TRES,PICO6,Picnic Grounds,6/3/2022,L,NN,U,NA,333,44,18.3,3,12,24.8,4,11.4,KL,-,-,unknown color,B159,1289,2881-65727,nestling
